#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
23.2%	116000	-49958.99550651433	15665.19980598567	296.5369796185899	0.9588974058921507	44.6	24:47
23.4%	117000	-51367.01113151433	14618.98886848567	298.17187157775516	0.9588974058921507	44.6	24:43
23.6%	118000	-50971.04628776433	15270.53183723567	299.32675606636764	0.9588974058921507	44.6	24:39
23.8%	119000	-49235.24648307683	15876.66367317317	294.22210943672457	0.9588974058921507	44.6	24:36
24.0%	120000	-49829.84706901433	16163.63730598567	298.2056913289348	0.9588974058921507	44.6	24:33
24.2%	121000	-48784.38417838933	17191.35019661067	298.1254841528595	0.9588974058921507	44.6	24:29
24.4%	122000	-48169.24550651433	17406.56699348567	296.318351519367	0.9588974058921507	44.5	24:26
24.6%	123000	-48466.36269401433	17216.55918098567	296.802348167251	0.9588974058921507	44.5	24:22
24.8%	124000	-46491.97402213933	19647.35410286067	298.8647175450324	0.9588974058921507	44.5	24:19
25.0%	125000	-48214.10976432683	17923.06211067317	298.8549740676571	0.9588974058921507	44.5	24:15
25.2%	126000	-47711.72548698308	18115.14170051692	297.4527958869638	0.9588974058921507	44.5	24:12
25.4%	127000	-47007.55702995183	18611.18515754817	296.51233850551745	0.9588974058921507	44.5	24:08
25.6%	128000	-47769.12636588933	17995.18613411067	297.1701291357161	0.9588974058921507	44.5	24:05
25.8%	129000	-47569.87734245183	18565.63828254817	298.8474899473543	0.9588974058921507	44.5	24:01
26.0%	130000	-47296.01894401433	17844.80136848567	294.35274616870817	0.9588974058921507	44.5	23:57
26.2%	131000	-47059.10585807683	18548.32382942317	296.4612205517512	0.9588974058921507	44.5	23:54
26.4%	132000	-47145.76894401433	18889.85605598567	298.3961127672051	0.9588974058921507	44.5	23:50
26.6%	133000	-47933.52480338933	18339.24082161067	299.46768346376757	0.9588974058921507	44.4	23:47
26.8%	134000	-46646.42421745183	19823.70078254817	300.35949406324573	0.9588974058921507	44.4	23:43
27.0%	135000	-47024.16640495183	19534.45859504817	300.75940026508596	0.9588974058921507	44.4	23:39
27.2%	136000	-47126.30312370183	18847.41562629817	298.1163761196608	0.9588974058921507	44.4	23:36
27.4%	137000	-47144.39492057683	19164.63632942317	299.6315574564355	0.9588974058921507	44.4	23:32
27.6%	138000	-46818.49648307683	19840.81601692317	301.21437829556953	0.9588974058921507	44.4	23:29
27.8%	139000	-47259.95302604558	19280.31259895442	300.6764394975785	0.9588974058921507	44.4	23:25
28.0%	140000	-46678.03261588933	19871.37363411067	300.717743369061	0.9588974058921507	44.4	23:22
28.2%	141000	-46292.11660026433	20120.02402473567	300.09747924773916	0.9588974058921507	44.4	23:18
28.4%	142000	-47401.69277213933	18790.66660286067	299.1043506045391	0.9588974058921507	44.3	23:15
28.6%	143000	-45583.64345573308	20217.10654426692	297.33477978237767	0.9588974058921507	44.3	23:11
28.8%	144000	-46177.30214713933	20158.14316536067	299.7509150542835	0.9588974058921507	44.3	23:07
29.0%	145000	-46505.82802604558	19634.57822395442	298.8695892837201	0.9588974058921507	44.3	23:03
29.2%	146000	-46162.58242057683	20400.74570442317	300.78065234254956	0.9588974058921507	44.3	23:00
29.4%	147000	-46355.44179557683	19912.50351692317	299.4459018494901	0.9588974058921507	44.3	22:56
29.6%	148000	-46853.03945182683	20073.30429817317	302.42101618212496	0.9588974058921507	44.3	22:53
29.8%	149000	-47823.86855338933	18309.20175911067	298.83644027917137	0.9588974058921507	44.3	22:49
30.0%	150000	-47025.05117057683	18379.98789192317	295.5466751717305	0.9588974058921507	44.3	22:46
30.2%	151000	-45505.01210807683	19880.25351692317	295.45732466000226	0.9588974058921507	44.3	22:42
30.4%	152000	-45152.68202995183	20881.06797004817	298.38764017818306	0.9588974058921507	44.2	22:39
30.6%	153000	-46098.32070182683	19960.58554817317	298.5013140808955	0.9588974058921507	44.2	22:36
30.8%	154000	-46051.90859245183	20210.02890754817	299.4187542621653	0.9588974058921507	44.2	22:32
31.0%	155000	-46326.28652213933	19150.26035286067	295.8697985355586	0.9588974058921507	44.2	22:29
31.2%	156000	-46489.78603385808	19315.13584114192	297.3536312929517	0.9588974058921507	44.1	22:28
31.4%	157000	-45749.07363151433	20823.59043098567	300.8228387753885	0.9588974058921507	44	22:28
31.6%	158000	-45872.25917838933	20645.52207161067	300.5748390342226	0.9588974058921507	44	22:24
31.8%	159000	-46004.99648307683	20915.09726692317	302.3927742187181	0.9588974058921507	43.9	22:20
32.0%	160000	-44761.44472526433	21508.16464973567	299.4534212722471	0.9588974058921507	43.9	22:17
32.2%	161000	-44391.95253776433	21266.73496223567	296.69283995414116	0.9588974058921507	43.9	22:13
32.4%	162000	-44544.14687370183	20794.19687629817	295.2452981197257	0.9588974058921507	43.9	22:09
32.6%	163000	-42834.16494010808	23188.53818489192	298.33772250786154	0.9588974058921507	43.9	22:05
32.8%	164000	-43943.76894401433	22590.49668098567	300.649327212708	0.9588974058921507	43.9	22:01
33.0%	165000	-44209.29042838933	22021.18613411067	299.2765912788663	0.9588974058921507	43.9	21:58
33.2%	166000	-45135.32167838933	21351.86582161067	300.43659462334625	0.9588974058921507	43.9	21:54
33.4%	167000	-43995.82753776433	21396.21933723567	295.4879671902986	0.9588974058921507	43.9	21:50
33.6%	168000	-45804.11855338933	19807.27988411067	296.47915419851444	0.9588974058921507	43.9	21:46
33.8%	169000	-45489.09218620183	20371.73593879817	297.60625565562555	0.9588974058921507	43.9	21:42
34.0%	170000	-44627.13906120183	20476.90000129817	294.18654221405916	0.9588974058921507	43.9	21:38
34.2%	171000	-45668.61367057683	20010.82382942317	296.7866032726517	0.9588974058921507	43.9	21:35
34.4%	172000	-44996.82900260808	20359.85068489192	295.3281529798704	0.9588974058921507	43.9	21:31
34.6%	173000	-46083.09999870183	20039.20468879817	298.7877934972032	0.9588974058921507	43.9	21:27
34.8%	174000	-45479.45595573308	20345.51279426692	297.444217390579	0.9588974058921507	43.9	21:23
35.0%	175000	-44042.21132682683	21924.67148567317	298.08548647218464	0.9588974058921507	43.9	21:19
35.2%	176000	-44543.98281120183	21693.72812629817	299.3092813515097	0.9588974058921507	43.9	21:15
35.4%	177000	-45089.81093620183	21231.42343879817	299.6866998899873	0.9588974058921507	43.9	21:12
35.6%	178000	-45506.19130729558	20662.65244270442	298.99809021722103	0.9588974058921507	43.9	21:08
35.8%	179000	-45345.95693229558	21111.51181770442	300.302304087347	0.9588974058921507	43.9	21:04
36.0%	180000	-44653.08046745183	21617.59922004817	299.4582577084806	0.9588974058921507	43.9	21:00
36.2%	181000	-45571.50136588933	20787.93613411067	299.85932889131135	0.9588974058921507	43.9	20:56
36.4%	182000	-45455.15761588933	20560.29550911067	298.3049618303097	0.9588974058921507	43.9	20:53
36.6%	183000	-43404.70595573308	22755.24716926692	298.9579160242748	0.9588974058921507	43.8	20:49
36.8%	184000	-62598.98232292058	3061.2051770794205	296.69961802535875	0.9588974058921507	43.8	20:45
37.0%	185000	-62882.17226432683	3938.6089856731705	301.9440094201841	0.9588974058921507	43.8	20:41
