#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
31.6%	158000	589952.7372177821	716831.5340927821	298.31803698952996	0.9626389289889488	17.3	56:58
31.8%	159000	588487.9042099696	715979.7167099696	299.7593622731711	0.9626389289889488	17.3	56:55
32.0%	160000	589098.8837021571	716779.4774521571	300.2032256554502	0.9626389289889488	17.2	56:51
32.2%	161000	588821.8290146571	716078.0087021571	299.2053412719745	0.9626389289889488	17.2	56:47
32.4%	162000	589986.9794052821	716586.5340927821	297.66148141624745	0.9626389289889488	17.2	56:43
32.6%	163000	590717.1659287196	717820.1190537196	298.84507424182056	0.9626389289889488	17.1	56:38
32.8%	164000	590783.3846787196	717058.5331162196	296.8987358821573	0.9626389289889488	17.1	56:33
33.0%	165000	591177.8055771571	718644.2118271571	299.6996269760692	0.9626389289889488	17.1	56:28
33.2%	166000	591157.0614365321	718540.7879990321	299.50523009746223	0.9626389289889488	17.1	56:23
33.4%	167000	590516.4139755946	718646.2577255946	301.25950441453693	0.9626389289889488	17	56:17
33.6%	168000	589211.5204209071	716491.1297959071	299.2604292658271	0.9626389289889488	17	56:12
33.8%	169000	590742.1600693446	718566.1600693446	300.5404031196578	0.9626389289889488	17	56:07
34.0%	170000	590103.2118271571	716854.2118271571	298.01756036284064	0.9626389289889488	17	56:01
34.2%	171000	589582.5546005946	716820.3046005946	299.1620093021517	0.9626389289889488	16.9	55:55
34.4%	172000	589035.9921005946	715316.8827255946	296.91223694100415	0.9626389289889488	16.9	55:50
34.6%	173000	588822.0272568446	716032.0819443446	299.0968919502986	0.9626389289889488	16.9	55:44
34.8%	174000	589468.6190537196	717524.5565537196	301.0857356843449	0.9626389289889488	16.9	55:39
35.0%	175000	589573.4432724696	717173.2870224696	300.0133658673672	0.9626389289889488	16.8	55:34
35.2%	176000	590684.8143662196	717604.9706162196	298.41528135080233	0.9626389289889488	16.8	55:29
35.4%	177000	592306.6258896571	719857.8758896571	299.89911200882665	0.9626389289889488	16.8	55:24
35.6%	178000	591949.4042099696	719493.4745224696	299.88223109307114	0.9626389289889488	16.8	55:19
35.8%	179000	592743.8006943446	720059.7147568446	299.3457890215567	0.9626389289889488	16.7	55:13
36.0%	180000	593841.0907334071	720625.0438584071	298.0950399087128	0.9626389289889488	16.7	55:07
36.2%	181000	591601.7674912196	718763.7284287196	298.9838136941609	0.9626389289889488	16.7	55:02
36.4%	182000	593228.4901474696	720001.3963974696	298.0690664431217	0.9626389289889488	16.7	54:57
36.6%	183000	590527.4745224696	717924.3963974696	299.53625497962867	0.9626389289889488	16.6	54:51
36.8%	184000	592037.8690537196	718393.6737412196	297.0883752447897	0.9626389289889488	16.6	54:45
37.0%	185000	589818.2049912196	716205.7518662196	297.163007628592	0.9626389289889488	16.6	54:40
37.2%	186000	589428.5321396571	717231.1493271571	300.4901277481424	0.9626389289889488	16.6	54:34
37.4%	187000	591760.1551865321	718719.3114365321	298.50697833823557	0.9626389289889488	16.5	54:28
37.6%	188000	592107.3475693446	718404.8319443446	296.95125224575344	0.9626389289889488	16.5	54:22
37.8%	189000	592017.5340927821	719344.6434677821	299.37211149411115	0.9626389289889488	16.5	54:16
38.0%	190000	589970.1405380946	716977.8280380946	298.6210852464758	0.9626389289889488	16.5	54:10
38.2%	191000	589768.7753037196	716309.1659287196	297.52237458815614	0.9626389289889488	16.5	54:04
38.4%	192000	591125.6698349696	718591.9979599696	299.6994432881938	0.9626389289889488	16.4	53:58
38.6%	193000	592392.1874130946	718047.5546005946	295.4415032285007	0.9626389289889488	16.4	53:51
38.8%	194000	591570.4188584071	718218.2079209071	297.7748903105609	0.9626389289889488	16.4	53:45
39.0%	195000	589731.4042099696	717644.0292099696	300.74877864558783	0.9626389289889488	16.4	53:38
39.2%	196000	590131.9540146571	717362.1415146571	299.1442283158065	0.9626389289889488	16.4	53:32
39.4%	197000	590677.6991318446	717730.0428818446	298.7260812360929	0.9626389289889488	16.3	53:26
39.6%	198000	590711.4286240321	719455.1942490321	302.7029604775335	0.9626389289889488	16.3	53:19
39.8%	199000	591024.0145615321	718859.2567490321	300.5668358049375	0.9626389289889488	16.3	53:12
40.0%	200000	589790.2069443446	716109.7538193446	297.00312570178534	0.9626389289889488	16.3	53:06
40.2%	201000	591018.9003037196	719251.0799912196	301.50011716261145	0.9626389289889488	16.3	52:59
40.4%	202000	589391.3280380946	716777.8592880946	299.51182449219147	0.9626389289889488	16.2	52:52
40.6%	203000	588410.0956162196	716313.3299912196	300.72669936295665	0.9626389289889488	16.2	52:45
40.8%	204000	588100.9520615321	716098.4989365321	300.9484473662207	0.9626389289889488	16.2	52:38
41.0%	205000	591597.3651474696	718976.3026474696	299.4939700306961	0.9626389289889488	16.2	52:31
41.2%	206000	592419.4969834071	720220.4501084071	300.48621519639494	0.9626389289889488	16.2	52:24
41.4%	207000	593274.1688584071	720321.2704209071	298.71375577964903	0.9626389289889488	16.1	52:17
41.6%	208000	592320.2460068446	719356.4960068446	298.68824153374663	0.9626389289889488	16.1	52:10
