#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
23.2%	116000	-41969.382748309756	25233.976626690244	299.5925089445091	0.955808202767729	43.4	25:29
23.4%	117000	-42609.326107684756	24618.689517315244	299.70242648237274	0.955808202767729	43.2	25:32
23.6%	118000	-42640.474545184756	24368.509829815244	298.72598538872757	0.955808202767729	43	25:34
23.8%	119000	-42024.693295184756	24612.244204815244	297.0674007917249	0.955808202767729	42.8	25:37
24.0%	120000	-42177.014095966006	25183.603091533994	300.29356411550293	0.955808202767729	42.7	25:39
24.2%	121000	-41936.967709247256	24813.454165752744	297.5733140220819	0.955808202767729	42.5	25:41
24.4%	122000	-42852.223568622256	24705.221743877744	301.17102370008337	0.955808202767729	42.3	25:43
24.6%	123000	-43159.198177997256	24097.161197002744	299.8287828915518	0.955808202767729	42.2	25:45
24.8%	124000	-41068.759701434756	25999.959048565244	298.9922811727913	0.955808202767729	42	25:47
25.0%	125000	-42932.699154559756	24498.425845440244	300.60788787317694	0.955808202767729	41.8	25:48
25.2%	126000	-42530.924740497256	24580.059634502744	299.1807012868097	0.955808202767729	41.7	25:50
25.4%	127000	-43158.425717059756	23591.386782940244	297.57059742894074	0.955808202767729	41.5	25:51
25.6%	128000	-42150.475521747256	24761.618228252744	298.2940470792902	0.955808202767729	41.4	25:53
25.8%	129000	-42929.583920184756	24607.189517315244	301.07886850198855	0.955808202767729	41.2	25:54
26.0%	130000	-41640.766537372256	25566.405337627744	299.60950506569975	0.955808202767729	41.1	25:55
26.2%	131000	-41909.332943622256	24880.479556377744	297.748917388973	0.955808202767729	41	25:56
26.4%	132000	-42539.795834247256	24791.297915752744	300.1619486606276	0.955808202767729	40.8	25:58
26.6%	133000	-41778.305599872256	25084.342837627744	298.0736199255707	0.955808202767729	40.7	25:59
26.8%	134000	-41759.661068622256	25593.667056377744	300.26106948216113	0.955808202767729	40.5	26:00
27.0%	135000	-42309.071713153506	24981.326724346494	299.9805289981652	0.955808202767729	40.4	26:00
27.2%	136000	-40565.175717059756	26950.253970440244	300.98371808581516	0.955808202767729	40.3	26:01
27.4%	137000	-41395.510677997256	25512.958072002744	298.27788683291226	0.955808202767729	40.1	26:02
27.6%	138000	-41985.952084247256	25492.266665752744	300.8178317636211	0.955808202767729	40	26:03
27.8%	139000	-42526.078060809756	24606.984439190244	299.27912554599936	0.955808202767729	39.9	26:03
28.0%	140000	-42092.845638934756	25160.388736065244	299.8148516446743	0.955808202767729	39.8	26:03
28.2%	141000	-41551.608334247256	25630.165103252744	299.4962788567027	0.955808202767729	39.7	26:02
28.4%	142000	-40680.231381122256	25936.510806377744	296.97737010877887	0.955808202767729	39.6	26:02
28.6%	143000	-39273.564388934756	27951.810611065244	299.69065457876127	0.955808202767729	39.5	26:02
28.8%	144000	-40871.461849872256	25941.991275127744	297.8543072716014	0.955808202767729	39.4	26:01
29.0%	145000	-41086.872982684756	25842.017642315244	298.3689275312569	0.955808202767729	39.3	26:00
29.2%	146000	-41986.085873309756	25546.695376690244	301.06107133410256	0.955808202767729	39.2	26:00
29.4%	147000	-41765.235287372256	25747.835025127744	300.9731999944226	0.955808202767729	39.1	25:59
29.6%	148000	-40391.473568622256	27241.026431377744	301.5056174219641	0.955808202767729	39	25:58
29.8%	149000	-42246.268490497256	25882.231509502744	303.7167849263635	0.955808202767729	38.9	25:57
30.0%	150000	-41684.684506122256	25409.143618877744	299.10421874145214	0.955808202767729	38.8	25:56
30.2%	151000	-41985.567318622256	24968.940493877744	298.4831289275353	0.955808202767729	38.8	25:56
30.4%	152000	-42153.407162372256	25418.475650127744	301.23538606065745	0.955808202767729	38.7	25:55
30.6%	153000	-41681.241146747256	25664.383853252744	300.2267289586081	0.955808202767729	38.6	25:54
30.8%	154000	-40653.765560809756	26480.414126690244	299.2841059667581	0.955808202767729	38.5	25:54
31.0%	155000	-41238.011654559756	25101.339907940244	295.74076297969617	0.955808202767729	38.4	25:53
31.2%	156000	-40905.165951434756	26443.482486065244	300.24020743996203	0.955808202767729	38.3	25:52
31.4%	157000	-41226.187435809756	25932.906314190244	299.3951728324891	0.955808202767729	38.2	25:51
31.6%	158000	-41651.287045184756	25487.650454815244	299.30531629012916	0.955808202767729	38.1	25:50
31.8%	159000	-42364.848568622256	24295.151431377744	297.1702133936809	0.955808202767729	38	25:48
32.0%	160000	-41946.733822528506	25879.297427471494	302.3683795410887	0.955808202767729	38	25:47
32.2%	161000	-42871.840267841006	23603.839419658994	296.3485136247278	0.955808202767729	37.9	25:46
32.4%	162000	-43006.940365497256	24291.395572002744	300.01591436523404	0.955808202767729	37.8	25:45
32.6%	163000	-42303.822201434756	24698.060611065244	298.6943266301985	0.955808202767729	37.7	25:44
32.8%	164000	-41823.762142841006	25252.972232158994	299.0280148210321	0.955808202767729	37.6	25:43
33.0%	165000	-41427.979427997256	25405.879947002744	297.9452783137116	0.955808202767729	37.5	25:42
33.2%	166000	-42908.922787372256	24189.342837627744	299.1240011120183	0.955808202767729	37.5	25:40
33.4%	167000	-43115.039974872256	23421.952212627744	296.6218446884647	0.955808202767729	37.4	25:39
33.6%	168000	-42743.650326434756	24340.974673565244	299.0631912193979	0.955808202767729	37.3	25:38
33.8%	169000	-41025.529232684756	25662.095767315244	297.2933656160782	0.955808202767729	37.2	25:37
34.0%	170000	-42487.250424091006	25172.655825908994	301.6277944570799	0.955808202767729	37.1	25:35
34.2%	171000	-42215.747982684756	24794.955142315244	298.73364757451026	0.955808202767729	37.1	25:34
34.4%	172000	-42450.800717059756	24084.113345440244	296.6125804092912	0.955808202767729	37	25:32
34.6%	173000	-43082.087338153506	24158.240786846494	299.7573155950701	0.955808202767729	36.9	25:31
34.8%	174000	-41678.073177997256	25359.926822002744	298.8553370159853	0.955808202767729	36.8	25:29
35.0%	175000	-41722.628842059756	25151.394595440244	298.1243296642049	0.955808202767729	36.8	25:28
35.2%	176000	-41956.682552997256	24891.911197002744	298.0109641427391	0.955808202767729	36.7	25:26
35.4%	177000	-41828.057552997256	25159.325259502744	298.6296856446868	0.955808202767729	36.6	25:24
35.6%	178000	-40849.006771747256	25467.204165752744	295.6376020965681	0.955808202767729	36.5	25:22
35.8%	179000	-41424.205990497256	25662.278384502744	299.07148031129	0.955808202767729	36.5	25:21
36.0%	180000	-41399.517513934756	25697.357486065244	299.11780170715775	0.955808202767729	36.4	25:19
36.2%	181000	-41118.568295184756	26183.939517315244	300.03451257981556	0.955808202767729	36.3	25:17
36.4%	182000	-43002.278256122256	24081.760806377744	299.06057911060833	0.955808202767729	36.3	25:15
36.6%	183000	-40975.467220966006	26425.087466533994	300.4716054505976	0.955808202767729	36.2	25:13
36.8%	184000	-42336.577084247256	24491.407290752744	297.91908756958185	0.955808202767729	36.1	25:11
37.0%	185000	-42423.362240497256	24098.340884502744	296.55368606311646	0.955808202767729	36.1	25:09
37.2%	186000	-42410.206478778506	24795.731021221494	299.60400222318304	0.955808202767729	36	25:06
37.4%	187000	-41658.231381122256	25226.823306377744	298.1735069656825	0.955808202767729	35.9	25:04
37.6%	188000	-42597.806576434756	24235.115298565244	297.9410989396483	0.955808202767729	35.9	25:02
37.8%	189000	-42138.207943622256	24851.120181377744	298.63835784586803	0.955808202767729	35.8	25:00
38.0%	190000	-41016.119076434756	25470.209048565244	296.395984348463	0.955808202767729	35.8	24:57
38.2%	191000	-41335.394467059756	26122.636782940244	300.7278359087923	0.955808202767729	35.7	24:55
38.4%	192000	-42197.753842059756	25277.800845440244	300.805955375658	0.955808202767729	35.6	24:52
38.6%	193000	-41627.049740497256	25254.153384502744	298.15633670390594	0.955808202767729	35.6	24:50
38.8%	194000	-41836.689388934756	25867.341861065244	301.8245036629905	0.955808202767729	35.5	24:48
39.0%	195000	-41376.562924091006	25638.015200908994	298.7509223206384	0.955808202767729	35.5	24:45
