#"Progress (%)"	"Step"	"Temperature (K)"	"Speed (ns/day)"	"Time Remaining"
58.6%	293000	299.6146130172273	11.6	51:17
58.8%	294000	298.1417655156283	11.6	51:03
59.0%	295000	298.8212511213181	11.6	50:49
59.2%	296000	298.7302450519975	11.6	50:36
59.4%	297000	299.59274518201954	11.6	50:21
59.6%	298000	299.0359726877731	11.6	50:08
59.8%	299000	299.0879384722837	11.6	49:54
60.0%	300000	297.4962818877224	11.6	49:40
60.2%	301000	299.28393125345826	11.6	49:26
60.4%	302000	298.405261059525	11.6	49:12
60.6%	303000	298.143691151298	11.6	48:58
60.8%	304000	299.76781975653574	11.6	48:44
61.0%	305000	300.09731448461804	11.6	48:30
61.2%	306000	298.9575228181617	11.6	48:16
61.4%	307000	299.93935960256243	11.6	48:02
61.6%	308000	299.86721421137634	11.6	47:48
61.8%	309000	299.6681878945578	11.6	47:34
62.0%	310000	299.1671796990197	11.6	47:20
62.2%	311000	298.46152655107886	11.6	47:05
62.4%	312000	300.6411614791639	11.6	46:51
62.6%	313000	298.58550583392145	11.6	46:37
62.8%	314000	298.10024564516146	11.5	46:23
63.0%	315000	300.7688865190625	11.5	46:08
63.2%	316000	299.7909801417136	11.5	45:54
63.4%	317000	299.02943080221036	11.5	45:40
63.6%	318000	299.08065798673806	11.5	45:26
63.8%	319000	298.4532173012713	11.5	45:11
64.0%	320000	298.8900464340103	11.5	44:58
64.2%	321000	298.5306120280501	11.5	44:43
64.4%	322000	300.4494420264618	11.5	44:29
64.6%	323000	301.25029543648316	11.5	44:15
64.8%	324000	299.38195402261636	11.5	44:00
65.0%	325000	299.6694013088154	11.5	43:46
65.2%	326000	298.2600206486035	11.5	43:32
65.4%	327000	299.10434594333225	11.5	43:18
65.6%	328000	299.840941154842	11.5	43:03
65.8%	329000	299.55352024721384	11.5	42:49
66.0%	330000	298.7649592511934	11.5	42:34
66.2%	331000	298.7506620658103	11.5	42:20
66.4%	332000	300.3897209421308	11.5	42:06
66.6%	333000	300.01187429373994	11.5	41:51
66.8%	334000	298.09573490955165	11.5	41:37
67.0%	335000	298.77582722237025	11.5	41:22
67.2%	336000	299.3884959081791	11.5	41:08
67.4%	337000	299.8727800898189	11.5	40:54
67.6%	338000	299.29020935331283	11.5	40:39
67.8%	339000	300.78843304003834	11.5	40:25
68.0%	340000	299.73700958582083	11.5	40:10
68.2%	341000	299.94318449533097	11.5	39:56
68.4%	342000	299.6169870886009	11.5	39:41
68.6%	343000	298.5038905358119	11.5	39:27
68.8%	344000	298.6167644403403	11.5	39:12
69.0%	345000	299.1407219924897	11.5	38:58
69.2%	346000	299.1877022271158	11.5	38:43
69.4%	347000	300.68880117806043	11.4	38:29
69.6%	348000	300.1049906487259	11.4	38:14
69.8%	349000	300.40438742750536	11.4	38:00
70.0%	350000	299.19382205554547	11.4	37:45
70.2%	351000	298.9827934890049	11.4	37:31
70.4%	352000	301.50819872336655	11.4	37:16
70.6%	353000	297.76755911001027	11.4	37:02
70.8%	354000	299.11669111447486	11.4	36:47
71.0%	355000	299.7140338506387	11.4	36:33
71.2%	356000	299.1711364846423	11.4	36:18
71.4%	357000	299.6076490745315	11.4	36:04
71.6%	358000	299.5088877053905	11.4	35:49
71.8%	359000	300.23883551705427	11.4	35:35
72.0%	360000	299.04926748746516	11.4	35:20
72.2%	361000	298.8407448851523	11.4	35:05
72.4%	362000	298.46550971527233	11.4	34:50
72.6%	363000	298.95520150392974	11.4	34:35
72.8%	364000	300.40254092754816	11.4	34:21
73.0%	365000	299.803641855706	11.4	34:06
73.2%	366000	298.3471226894431	11.4	33:51
73.4%	367000	298.80537122168596	11.4	33:36
73.6%	368000	298.89028384114766	11.4	33:22
73.8%	369000	300.31681057239103	11.4	33:07
74.0%	370000	299.2714014323199	11.4	32:52
74.2%	371000	299.5977307319041	11.4	32:37
74.4%	372000	300.7199278916251	11.4	32:23
74.6%	373000	299.9094726818261	11.4	32:08
74.8%	374000	300.49391629686016	11.4	31:53
75.0%	375000	298.7637985940774	11.4	31:38
75.2%	376000	299.60880973164745	11.4	31:24
75.4%	377000	299.44019790698155	11.4	31:09
75.6%	378000	301.79601530955705	11.4	30:54
75.8%	379000	298.23010734929636	11.4	30:39
76.0%	380000	301.4433074391553	11.4	30:25
76.2%	381000	299.7878147132155	11.4	30:10
76.4%	382000	301.53945732978536	11.4	29:55
76.6%	383000	298.16497865794776	11.4	29:41
76.8%	384000	300.1370142336985	11.3	29:26
77.0%	385000	299.582272889405	11.3	29:11
77.2%	386000	300.4565378620117	11.3	28:57
77.4%	387000	299.4066443649016	11.3	28:42
77.6%	388000	299.39846700794817	11.3	28:27
77.8%	389000	300.0445837215537	11.3	28:12
78.0%	390000	300.2606242165496	11.3	27:58
78.2%	391000	299.6644421375017	11.3	27:43
78.4%	392000	297.8638408934944	11.3	27:28
78.6%	393000	300.0576411141084	11.3	27:13
78.8%	394000	299.3766783084528	11.3	26:59
79.0%	395000	299.83880449060587	11.3	26:44
79.2%	396000	298.8103303929996	11.3	26:29
79.4%	397000	299.75737384249203	11.3	26:14
79.6%	398000	300.4035433132392	11.3	25:59
79.8%	399000	299.74864253555137	11.3	25:44
80.0%	400000	299.3259259381998	11.3	25:29
80.2%	401000	298.41639281641005	11.3	25:14
80.4%	402000	299.00236638855154	11.3	25:00
80.6%	403000	299.36217009450314	11.3	24:45
80.8%	404000	299.14235746388033	11.3	24:30
81.0%	405000	298.8759075200521	11.3	24:15
81.2%	406000	300.2413151027111	11.3	24:00
81.4%	407000	299.99193209420184	11.3	23:45
81.6%	408000	299.81150266980967	11.3	23:30
81.8%	409000	299.8262219123259	11.3	23:15
82.0%	410000	300.32902385067956	11.3	23:00
82.2%	411000	298.6915213100373	11.3	22:45
82.4%	412000	298.65472320374676	11.3	22:30
82.6%	413000	299.2052703552803	11.3	22:15
82.8%	414000	300.24611600259993	11.3	22:00
83.0%	415000	299.10766964325524	11.3	21:45
83.2%	416000	298.6199034902676	11.3	21:30
83.4%	417000	299.1438082852753	11.2	21:15
83.6%	418000	299.15093049939605	11.2	20:59
83.8%	419000	299.2681568681094	11.2	20:44
84.0%	420000	299.6175674171589	11.2	20:29
84.2%	421000	298.609141033374	11.2	20:14
84.4%	422000	300.55405943832426	11.2	19:59
84.6%	423000	298.3387343039231	11.2	19:45
84.8%	424000	299.56586541835645	11.2	19:30
85.0%	425000	298.4735815579425	11.2	19:15
85.2%	426000	299.15388489932764	11.2	19:00
85.4%	427000	299.1671269418781	11.2	18:45
85.6%	428000	298.84805174926873	11.2	18:30
85.8%	429000	298.87068456303024	11.2	18:15
86.0%	430000	299.841389590546	11.2	18:00
86.2%	431000	299.6071742602567	11.2	17:45
86.4%	432000	298.6174766617524	11.2	17:29
86.6%	433000	300.6564610502381	11.2	17:14
86.8%	434000	299.8050135413886	11.2	16:59
87.0%	435000	298.17935497904335	11.2	16:44
87.2%	436000	300.0451112929701	11.2	16:29
87.4%	437000	299.9079691032895	11.2	16:14
87.6%	438000	299.26172049682987	11.2	15:59
87.8%	439000	298.93673650435744	11.2	15:44
88.0%	440000	300.7428244910948	11.2	15:29
88.2%	441000	299.9824358087075	11.2	15:13
88.4%	442000	299.6534422734708	11.2	14:58
88.6%	443000	299.62334432416793	11.2	14:43
88.8%	444000	300.2365142028223	11.2	14:27
89.0%	445000	299.0934779721554	11.1	14:12
89.2%	446000	299.72730227176	11.1	13:57
89.4%	447000	297.8767927717658	11.1	13:41
89.6%	448000	299.85547574736256	11.1	13:26
89.8%	449000	298.93889954716445	11.1	13:11
90.0%	450000	299.80633246992943	11.1	12:55
90.2%	451000	300.99115235677135	11.1	12:40
90.4%	452000	299.1790764344584	11.1	12:24
90.6%	453000	301.23715890821603	11.1	12:09
90.8%	454000	299.82184306957015	11.1	11:54
91.0%	455000	300.6640580786335	11.1	11:38
91.2%	456000	299.1807910415616	11.1	11:23
91.4%	457000	299.4037427221117	11.1	11:07
91.6%	458000	299.36509811586393	11.1	10:52
91.8%	459000	298.6898858386466	11.1	10:36
92.0%	460000	299.45831998513324	11.1	10:21
92.2%	461000	301.2441492294827	11.1	10:06
92.4%	462000	300.58059628056674	11.1	9:50
92.6%	463000	300.2370417742387	11.1	9:35
92.8%	464000	299.17084632036335	11.1	9:19
93.0%	465000	299.5740427753099	11.1	9:04
93.2%	466000	298.0558768890463	11.1	8:48
93.4%	467000	298.37822302443703	11.1	8:33
93.6%	468000	299.8567682973326	11.1	8:17
93.8%	469000	299.64180932374023	11.1	8:02
94.0%	470000	298.7818679150875	11.1	7:46
94.2%	471000	299.2411452115922	11.1	7:31
94.4%	472000	298.5561992417432	11.1	7:15
