#"Progress (%)"	"Step"	"Potential Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
45.6%	228000	-60835.163290884346	64264.055459115654	299.0029441891009	0.9750113796718786	14.5	53:56
45.8%	229000	-60033.282431509346	65182.983193490654	299.2827010139862	0.9750113796718786	14.5	53:46
46.0%	230000	-59988.115439321846	65825.89237317815	300.71138039115885	0.9750113796718786	14.5	53:35
46.2%	231000	-59787.120322134346	65592.48905286565	299.6731132216155	0.9750113796718786	14.5	53:24
46.4%	232000	-60978.061728384346	64077.328896615654	298.8981894308839	0.9750113796718786	14.5	53:14
46.6%	233000	-60478.899619009346	65290.420693490654	300.60457161807483	0.9750113796718786	14.5	53:03
46.8%	234000	-60540.112509634346	64256.653115365654	298.2800429930917	0.9750113796718786	14.5	52:52
47.0%	235000	-61304.538290884346	63639.680459115654	298.6324745985439	0.9750113796718786	14.5	52:41
47.2%	236000	-61129.717978384346	63486.907021615654	297.84948413124374	0.9750113796718786	14.5	52:31
47.4%	237000	-60932.639853384346	64242.532021615654	299.1844817576188	0.9750113796718786	14.5	52:20
47.6%	238000	-61025.467978384346	64246.680459115654	299.41626799892845	0.9750113796718786	14.5	52:09
47.8%	239000	-61237.041220571846	63446.747841928154	298.010014729531	0.9750113796718786	14.5	51:58
48.0%	240000	-62396.842978384346	63102.391396615654	299.9590320911018	0.9750113796718786	14.5	51:47
48.2%	241000	-62987.092001821846	63210.329873178154	301.6277884605018	0.9750113796718786	14.5	51:37
48.4%	242000	-61147.945517446846	63698.359170053154	298.398447613743	0.9750113796718786	14.4	51:26
48.6%	243000	-60399.768759634346	64694.168740365654	298.99032133410003	0.9750113796718786	14.4	51:15
48.8%	244000	-61292.618369009346	63591.233193490654	298.48818939056844	0.9750113796718786	14.4	51:04
49.0%	245000	-61354.315634634346	63876.731240365654	299.3180300696986	0.9750113796718786	14.4	50:53
49.2%	246000	-62998.825400259346	62764.010537240654	300.58907314226025	0.9750113796718786	14.4	50:42
49.4%	247000	-61575.650595571846	62689.365029428154	297.00909328484215	0.9750113796718786	14.4	50:31
49.6%	248000	-61939.239462759346	63220.666787240654	299.1479949844359	0.9750113796718786	14.4	50:20
49.8%	249000	-63812.290244009346	61323.162880990654	299.0895489250385	0.9750113796718786	14.4	50:09
50.0%	250000	-63569.525595571846	61072.146279428154	297.90934932818556	0.9750113796718786	14.4	49:58
50.2%	251000	-61268.424033071846	62770.068154428154	296.46767363876353	0.9750113796718786	14.4	49:47
